Year,Period,Area,Income Source,Income Type,Income
2015,Annual,Humboldt County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$40,594"
2015,Annual,Humboldt County,U.S. BEA - Local Data,Total Personal Income - BEA,"$5,515,128"
2014,Annual,Humboldt County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$23,367"
2014,Annual,Humboldt County,U.S. BEA - Local Data,Total Personal Income - BEA,"$56,440"
2022,Annual,Imperial County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,188"
2022,Annual,Imperial County,U.S. BEA - Local Data,Total Personal Income - BEA,"$8,075,656"
2021,Annual,Imperial County,U.S. BEA - Local Data,Total Personal Income - BEA,"$8,643,247"
2021,Annual,Imperial County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$48,228"
2020,Annual,Imperial County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$45,565"
2020,Annual,Imperial County,U.S. BEA - Local Data,Total Personal Income - BEA,"$8,183,274"
2019,Annual,Imperial County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$37,511"
2019,Annual,Imperial County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,740,447"
2018,Annual,Imperial County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,353,010"
2018,Annual,Imperial County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,217"
2017,Annual,Imperial County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,585"
2017,Annual,Imperial County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,428,926"
2016,Annual,Imperial County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$35,252"
2016,Annual,Imperial County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,323,414"
2015,Annual,Imperial County,U.S. BEA - Local Data,Total Personal Income - BEA,"$6,439,648"
2015,Annual,Imperial County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$36,121"
2014,Annual,Imperial County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$16,143"
2014,Annual,Imperial County,U.S. BEA - Local Data,Total Personal Income - BEA,"$56,603"
2022,Annual,Inyo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$61,501"
2022,Annual,Inyo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,151,182"
2021,Annual,Inyo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$60,944"
2021,Annual,Inyo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,153,492"
2020,Annual,Inyo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$59,712"
2020,Annual,Inyo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,134,595"
2019,Annual,Inyo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$57,741"
2019,Annual,Inyo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,089,334"
2018,Annual,Inyo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,870"
2018,Annual,Inyo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,024,203"
2017,Annual,Inyo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$56,308"
2017,Annual,Inyo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,041,240"
2016,Annual,Inyo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$54,731"
2016,Annual,Inyo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$1,011,375"
2015,Annual,Inyo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$50,961"
2015,Annual,Inyo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$947,306"
2014,Annual,Inyo County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$27,850"
2014,Annual,Inyo County,U.S. BEA - Local Data,Total Personal Income - BEA,"$61,925"
2022,Annual,Kern County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,862"
2022,Annual,Kern County,U.S. BEA - Local Data,Total Personal Income - BEA,"$41,098,858"
2021,Annual,Kern County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$46,651"
2021,Annual,Kern County,U.S. BEA - Local Data,Total Personal Income - BEA,"$42,561,996"
2020,Annual,Kern County,U.S. BEA - Local Data,Per Capita Personal Income - BEA,"$44,490"
2020,Annual,Kern County,U.S. BEA - Local Data,Total Personal Income - BEA,"$40,300,516"
