Year,Period,Area,Population Source,Population
2017,Annual,San Joaquin County,California Dept of Finance,"750,306"
2016,Annual,San Joaquin County,California Dept of Finance,"739,814"
2015,Annual,San Joaquin County,California Dept of Finance,"729,411"
2014,Annual,San Joaquin County,California Dept of Finance,"711,797"
2022,Annual,San Luis Obispo County,California Dept of Finance,"280,629"
2021,Annual,San Luis Obispo County,California Dept of Finance,"278,527"
2020,Annual,San Luis Obispo County,California Dept of Finance,"282,671"
2019,Annual,San Luis Obispo County,California Dept of Finance,"282,617"
2018,Annual,San Luis Obispo County,California Dept of Finance,"282,952"
2017,Annual,San Luis Obispo County,California Dept of Finance,"282,103"
2016,Annual,San Luis Obispo County,California Dept of Finance,"281,681"
2015,Annual,San Luis Obispo County,California Dept of Finance,"279,800"
2014,Annual,San Luis Obispo County,California Dept of Finance,"273,323"
2022,Annual,San Mateo County,California Dept of Finance,"746,262"
2021,Annual,San Mateo County,California Dept of Finance,"749,908"
2020,Annual,San Mateo County,California Dept of Finance,"762,754"
2019,Annual,San Mateo County,California Dept of Finance,"766,312"
2018,Annual,San Mateo County,California Dept of Finance,"766,711"
2017,Annual,San Mateo County,California Dept of Finance,"765,601"
2016,Annual,San Mateo County,California Dept of Finance,"764,070"
2015,Annual,San Mateo County,California Dept of Finance,"761,484"
2014,Annual,San Mateo County,California Dept of Finance,"748,438"
2022,Annual,Santa Barbara County,California Dept of Finance,"443,956"
2021,Annual,Santa Barbara County,California Dept of Finance,"439,100"
2020,Annual,Santa Barbara County,California Dept of Finance,"447,860"
2019,Annual,Santa Barbara County,California Dept of Finance,"448,815"
2018,Annual,Santa Barbara County,California Dept of Finance,"447,666"
2017,Annual,Santa Barbara County,California Dept of Finance,"445,801"
2016,Annual,Santa Barbara County,California Dept of Finance,"444,277"
2015,Annual,Santa Barbara County,California Dept of Finance,"442,188"
2014,Annual,Santa Barbara County,California Dept of Finance,"436,516"
2022,Annual,Santa Clara County,California Dept of Finance,"1,903,274"
2021,Annual,Santa Clara County,California Dept of Finance,"1,899,926"
2020,Annual,Santa Clara County,California Dept of Finance,"1,926,546"
2019,Annual,Santa Clara County,California Dept of Finance,"1,936,521"
2018,Annual,Santa Clara County,California Dept of Finance,"1,937,985"
2017,Annual,Santa Clara County,California Dept of Finance,"1,932,947"
2016,Annual,Santa Clara County,California Dept of Finance,"1,925,914"
2015,Annual,Santa Clara County,California Dept of Finance,"1,914,457"
2014,Annual,Santa Clara County,California Dept of Finance,"1,874,526"
2022,Annual,Santa Cruz County,California Dept of Finance,"265,158"
2021,Annual,Santa Cruz County,California Dept of Finance,"263,170"
2020,Annual,Santa Cruz County,California Dept of Finance,"271,222"
2019,Annual,Santa Cruz County,California Dept of Finance,"272,182"
2018,Annual,Santa Cruz County,California Dept of Finance,"273,527"
2017,Annual,Santa Cruz County,California Dept of Finance,"274,739"
2016,Annual,Santa Cruz County,California Dept of Finance,"275,452"
2015,Annual,Santa Cruz County,California Dept of Finance,"274,762"
2014,Annual,Santa Cruz County,California Dept of Finance,"271,857"
2022,Annual,Shasta County,California Dept of Finance,"179,786"
2021,Annual,Shasta County,California Dept of Finance,"181,374"
2020,Annual,Shasta County,California Dept of Finance,"182,029"
2019,Annual,Shasta County,California Dept of Finance,"181,387"
2018,Annual,Shasta County,California Dept of Finance,"181,472"
2017,Annual,Shasta County,California Dept of Finance,"181,095"
2016,Annual,Shasta County,California Dept of Finance,"180,287"
2015,Annual,Shasta County,California Dept of Finance,"180,812"
2014,Annual,Shasta County,California Dept of Finance,"178,522"
2022,Annual,Sierra County,California Dept of Finance,"3,186"
2021,Annual,Sierra County,California Dept of Finance,"3,212"
2020,Annual,Sierra County,California Dept of Finance,"3,232"
2019,Annual,Sierra County,California Dept of Finance,"3,233"
2018,Annual,Sierra County,California Dept of Finance,"3,232"
2017,Annual,Sierra County,California Dept of Finance,"3,233"
2016,Annual,Sierra County,California Dept of Finance,"3,220"
2015,Annual,Sierra County,California Dept of Finance,"3,213"
2014,Annual,Sierra County,California Dept of Finance,"3,093"
2022,Annual,Siskiyou County,California Dept of Finance,"43,307"
2021,Annual,Siskiyou County,California Dept of Finance,"43,543"
2020,Annual,Siskiyou County,California Dept of Finance,"43,996"
2019,Annual,Siskiyou County,California Dept of Finance,"44,193"
2018,Annual,Siskiyou County,California Dept of Finance,"44,305"
2017,Annual,Siskiyou County,California Dept of Finance,"44,390"
2016,Annual,Siskiyou County,California Dept of Finance,"44,554"
2015,Annual,Siskiyou County,California Dept of Finance,"44,655"
2014,Annual,Siskiyou County,California Dept of Finance,"45,317"
2022,Annual,Solano County,California Dept of Finance,"447,012"
2021,Annual,Solano County,California Dept of Finance,"449,539"
2020,Annual,Solano County,California Dept of Finance,"452,943"
2019,Annual,Solano County,California Dept of Finance,"451,701"
2018,Annual,Solano County,California Dept of Finance,"449,091"
2017,Annual,Solano County,California Dept of Finance,"445,721"
2016,Annual,Solano County,California Dept of Finance,"441,224"
2015,Annual,Solano County,California Dept of Finance,"435,902"
2014,Annual,Solano County,California Dept of Finance,"427,743"
2022,Annual,Sonoma County,California Dept of Finance,"481,297"
2021,Annual,Sonoma County,California Dept of Finance,"483,300"
2020,Annual,Sonoma County,California Dept of Finance,"488,765"
2019,Annual,Sonoma County,California Dept of Finance,"492,668"
2018,Annual,Sonoma County,California Dept of Finance,"496,869"
2017,Annual,Sonoma County,California Dept of Finance,"501,111"
2016,Annual,Sonoma County,California Dept of Finance,"501,989"
2015,Annual,Sonoma County,California Dept of Finance,"500,553"
2014,Annual,Sonoma County,California Dept of Finance,"495,684"
2022,Annual,Stanislaus County,California Dept of Finance,"547,905"
2021,Annual,Stanislaus County,California Dept of Finance,"550,885"
2020,Annual,Stanislaus County,California Dept of Finance,"553,129"
2019,Annual,Stanislaus County,California Dept of Finance,"551,566"
2018,Annual,Stanislaus County,California Dept of Finance,"549,544"
2017,Annual,Stanislaus County,California Dept of Finance,"546,499"
2016,Annual,Stanislaus County,California Dept of Finance,"540,856"
2015,Annual,Stanislaus County,California Dept of Finance,"535,436"
2014,Annual,Stanislaus County,California Dept of Finance,"530,327"
2022,Annual,Sutter County,California Dept of Finance,"98,641"
2021,Annual,Sutter County,California Dept of Finance,"99,020"
2020,Annual,Sutter County,California Dept of Finance,"99,474"
2019,Annual,Sutter County,California Dept of Finance,"101,046"
2018,Annual,Sutter County,California Dept of Finance,"99,334"
2017,Annual,Sutter County,California Dept of Finance,"97,771"
2016,Annual,Sutter County,California Dept of Finance,"96,517"
2015,Annual,Sutter County,California Dept of Finance,"95,844"
2014,Annual,Sutter County,California Dept of Finance,"96,408"
2022,Annual,Tehama County,California Dept of Finance,"64,993"
2021,Annual,Tehama County,California Dept of Finance,"65,424"
2020,Annual,Tehama County,California Dept of Finance,"65,847"
2019,Annual,Tehama County,California Dept of Finance,"65,312"
2018,Annual,Tehama County,California Dept of Finance,"64,568"
2017,Annual,Tehama County,California Dept of Finance,"64,141"
2016,Annual,Tehama County,California Dept of Finance,"63,999"
2015,Annual,Tehama County,California Dept of Finance,"63,509"
2014,Annual,Tehama County,California Dept of Finance,"64,226"
2022,Annual,Trinity County,California Dept of Finance,"15,927"
2021,Annual,Trinity County,California Dept of Finance,"16,009"
2020,Annual,Trinity County,California Dept of Finance,"16,107"
2019,Annual,Trinity County,California Dept of Finance,"16,054"
2018,Annual,Trinity County,California Dept of Finance,"15,754"
2017,Annual,Trinity County,California Dept of Finance,"15,498"
2016,Annual,Trinity County,California Dept of Finance,"14,840"
